id,signed_up_at,journal_entries,has_accel_minutes,accel_minutes,accel_days
c375a308-4c9d-4a90-bf86-fbe9161cf917,2026-05-20 18:40:09.809+00,1,"",0,0
95000783-85a9-41a6-a906-25cca3be1688,2026-05-20 08:28:26.828+00,0,"",0,0
"08a37ecc-512b-4a74-b406-82a4388316d4",2026-05-19 03:34:42.17+00,7,"",0,0
"018bc7fc-3bfc-4544-8eb1-f6f5edf88186",2026-05-18 20:47:54.121+00,0,"",0,0
37681659-ee4b-4442-a857-0e318202a690,2026-05-18 12:54:57.306+00,0,"",0,0
260d4a49-5945-4e59-abbb-6d57b28d5dc1,2026-05-18 12:09:42.561+00,0,"",0,0
"0ad5dcd5-b84f-43da-90c4-7122258ab859",2026-05-18 09:09:33.895+00,2,"",0,0
6e4e31b8-1a4f-4778-a004-469a30305931,2026-05-18 08:41:52.257+00,5,"",0,0
129ecd61-5f99-4a78-874a-4bc95cd765fb,2026-05-18 08:16:43.863+00,0,"",0,0
66d14fb2-0504-40fa-894b-0fc7469be631,2026-05-18 07:27:17.091+00,9,"",0,0
6adfc22c-85d8-4ce6-a11a-3c001ad13979,2026-05-10 15:59:07.486+00,0,"",0,0
aa17b909-5538-436b-be08-24394557552f,2026-05-06 18:16:41.509+00,0,"",0,0
8d4006fc-4455-43e1-bdb4-3e8ff2277e3f,2026-05-05 10:32:12.962+00,0,"",0,0
92f75046-fa38-4910-a753-3d5f66a6d6ac,2026-05-05 05:52:09.434+00,0,"",0,0
f287c753-3bbf-4a7f-9d68-dda0f80820ae,2026-05-04 09:25:59.748+00,0,"",0,0
8d512672-2c68-4209-8a60-73be50d7cc98,2026-04-23 20:22:19.101+00,3,"",0,0
2b2f3b27-4033-41b5-9cab-5b2ea7d8e80f,2026-04-04 11:24:31.348+00,1,"",0,0
66fd8737-b7f7-48a3-8a71-33aaf0f4d580,2026-03-26 09:00:46.313+00,4,"",0,0
3114ee1c-9792-4319-bdab-7b29fd75abf4,2026-03-14 21:09:33.25+00,0,"",0,0
1d0922d7-a15f-4557-af70-d412313272c4,2026-03-11 11:53:23.748+00,11,1,2541,8
f90d5172-dfb5-4ed9-b7c7-b486ec3ead1b,2026-03-07 14:45:46.339+00,22,1,2321,7
c77fb79b-a22c-4695-a3c4-b959196279b8,2026-03-05 01:08:48.476+00,0,"",0,0
37820f8e-8273-4e4f-aace-ad9f7dd5826c,2026-03-03 21:01:23.453+00,5,1,8958,33
e33b1088-fae0-4454-bcf9-57931b10fc97,2026-03-02 16:37:08.849+00,66,1,26812,23
64ae1c62-db63-4fcc-9d76-54aed2433072,2026-03-01 13:58:53.735+00,8,1,574,9
f9f0130d-9082-4d73-bda8-3258aaa6c714,2026-02-28 18:26:49.962+00,0,"",0,0
e50b4559-8a45-479b-ba82-27cc2161c795,2026-02-28 16:12:44.144+00,2,1,3290,19
ceb98a17-f8e0-4787-8c5a-d8c09b775f11,2026-02-28 15:15:23.411+00,57,1,7,1
309722e6-d6e9-441f-802f-e21625f0efdf,2026-02-28 06:47:52.377+00,7,"",0,0
3242d0b1-0437-46a0-b6ad-c0e12a0893da,2026-02-27 17:58:19.555+00,10,"",0,0
"03368641-af6e-4674-ab4f-07ffd44da8c8",2026-02-26 17:48:01.819+00,113,1,29512,50
ddfaede4-1931-4feb-8d64-a1ad2e49dc98,2025-09-09 08:08:22.197+00,0,1,2828,4